ID,Parent SKU,SKU,Description,Regular price,Brand,Cat,Color,Prime style,Pocket shape,Collection name,Consignment,Placket Shape,Placket Type,Sleeves type,Collar type,Size,Generation
,#p30211#,215112938592113,شماغ - عادي - رجالي - احمر غامق - 60,105,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Chinese Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,215112938602113,شماغ - عادي - رجالي - احمر غامق - 62,105,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Chinese Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,215112938612113,شماغ - عادي - رجالي - ابيض - 55,105,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Chinese Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,215112601582113,شماغ - عادي - رجالي - ابيض - 58,105,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,215112601592113,شماغ - عادي - رجالي - ابيض - 60,105,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,215112601602113,شماغ - عادي - رجالي - ابيض - 62,105,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,215112601612113,شماغ - عادي - ولادي - احمر فاتح - 42,85,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,215112837542112,شماغ - عادي - شباب - احمر فاتح - 46,85,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Chinese Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,42,Boys
,#p30211#,215112837552112,شماغ - عادي - شباب - احمر فاتح - 50,85,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Chinese Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,46,Youth
,#p30211#,215112837562112,شماغ - عادي - شباب - احمر فاتح - 52,85,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Chinese Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,50,Youth
,#p30211#,215112837572112,شماغ - عادي - ولادي - احمر غامق - 42,85,Alshiaka,Headgear>Alshiaka>Shumagh,Light Red,Chinese Shumagh Light Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,52,Youth
,#p30211#,215112938542113,شماغ - عادي - شباب - احمر غامق - 46,85,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Chinese Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,42,Boys
,#p30211#,215112938552113,شماغ - عادي - شباب - احمر غامق - 50,85,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Chinese Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,46,Youth
,#p30211#,215112938562113,شماغ - عادي - شباب - احمر غامق - 52,85,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Chinese Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,50,Youth
,#p30211#,215112938572113,شماغ - عادي - ولادي - ابيض - 42,85,Alshiaka,Headgear>Alshiaka>Shumagh,Dark Red,Chinese Shumagh Dark Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,52,Youth
,#p30211#,215112601542113,شماغ - عادي - شباب - ابيض - 46,85,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,42,Boys
,#p30211#,215112601552113,شماغ - عادي - شباب - ابيض - 50,85,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,46,Youth
,#p30211#,215112601562113,شماغ - عادي - شباب - ابيض - 52,85,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,50,Youth
,#p30211#,215112601572113,شماغ - فيرزاتشي - احمر - رجالي - 55,349,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,52,Youth
,#p30211#,215253027582266,شماغ - فيرزاتشي - احمر - رجالي - 58,349,Versace,Headgear>Alshiaka>Shumagh,Red,English Shumagh,NA,Continues,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,215253027592266,شماغ - فيرزاتشي - احمر - رجالي - 60,349,Versace,Headgear>Alshiaka>Shumagh,Red,English Shumagh,NA,Continues,Non Consignment,NA,NA,NA,NA,58,Men
