ID,Parent SKU,SKU,Description,Regular price,Brand,Cat,Color,Prime style,Pocket shape,Collection name,Consignment,Placket Shape,Placket Type,Sleeves type,Collar type,Size,Generation
,#p30211#,479510210,Shumagh - Alshiaka - Youth - 46,95,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,42,Men
,#p30211#,479510212,Shumagh - Alshiaka - Youth - 50,95,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,46,Youth
,#p30211#,479510214,Shumagh - Alshiaka - Youth - 52,95,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,50,Youth
,#p30211#,479510216,Shumagh - Alshiaka - Men - 55,145,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,52,Youth
,#p30211#,479510219,Shumagh - Alshiaka - Men - 58,145,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,479510221,Shumagh - Alshiaka - Men - 60,145,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,479510222,Shumagh - Alshiaka - Men - 62,145,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,479510223,Shumagh - Alshiaka - Men - 55,145,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,479601219,Shumagh - Alshiaka - Men - 58,145,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,479601221,Shumagh - Alshiaka - Men - 60,145,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,479601222,Shumagh - Alshiaka - Men - 62,145,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,479601223,Shumagh - Alshiaka - Men - 55,145,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,479610219,Shumagh - Alshiaka - Men - 58,145,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
,#p30211#,479610221,Shumagh - Alshiaka - Men - 60,145,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,58,Men
,#p30211#,479610222,Shumagh - Alshiaka - Men - 62,145,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,60,Men
,#p30211#,479610223,Shumagh - Alshiaka - Men - 55,199,Alshiaka,Headgear>Alshiaka>Shumagh,Red,Chinese Shumagh Red,NA,Seasonal,Non Consignment,NA,NA,NA,NA,62,Men
,#p30211#,479701219,Shumagh - Alshiaka - Men - 58,199,Alshiaka,Headgear>Alshiaka>Shumagh,White,Chinese Shumagh White,NA,Seasonal,Non Consignment,NA,NA,NA,NA,55,Men
